<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/10/18,115190,115240,115190,115220
05/10/18,115220,115250,115200,115250
05/10/18,115230,115250,115180,115240
05/10/18,115220,115240,115170,115240
05/10/18,115240,115290,115210,115260
05/10/18,115260,115380,115260,115370
05/10/18,115370,115410,115340,115350
05/10/18,115340,115350,115310,115330
05/10/18,115320,115470,115320,115450
05/10/18,115460,115460,115370,115420
05/10/18,115420,115450,115380,115430
05/10/18,115440,115450,115370,115390
05/10/18,115390,115390,115270,115280
05/10/18,115290,115350,115270,115290
05/10/18,115260,115260,114770,114800
05/10/18,114780,114870,114750,114840
05/10/18,114840,114930,114820,114920
05/10/18,114930,114940,114900,114920
05/10/18,114920,114970,114900,114960
05/10/18,114950,114960,114800,114830
05/10/18,114830,114870,114780,114870
05/10/18,114860,114910,114840,114900
05/10/18,114890,114920,114880,114900
05/10/18,114920,114930,114900,114920
05/10/18,114920,114930,114850,114860
05/10/18,114870,114870,114810,114830
05/10/18,114810,114850,114800,114820
05/10/18,114820,114890,114800,114860
05/10/18,114870,114950,114870,114920
05/10/18,114920,114940,114900,114930
05/10/18,114930,114940,114880,114920
05/10/18,114910,114910,114870,114870
